Country,Call Type,"Flagfall
(Exc. GST)","Rate
(Exc. GST)"
,Mobile,,$0.59
Netherlands,Fixed,,$0.70
,Mobile,,$0.93
Netherlands Antilles,Fixed,,$0.78
,Mobile,,$0.47
New Caledonia,Fixed,,$0.93
,Mobile,,$0.93
Nicaragua,Fixed,,$0.47
,Mobile,,$1.29
Niger,Fixed,,$0.93
,Mobile,,$0.93
Nigeria,Fixed,,$0.36
,Mobile,,$0.36
Niue Island,Fixed,,$3.11
,Mobile,,$2.22
Norfolk Island,* Fixed (Route Disabled),,
,* Mobile (Route Disabled),,
Norway,Fixed,,$0.08
,Mobile,,$0.47
Oman,Fixed,,$1.24
,Mobile,,$0.93
Pakistan,Fixed,,$0.17
,Mobile,,$0.17
Palau,Fixed,,$0.85
,Mobile,,$0.85
Palestine,* Fixed (Route Disabled),,
,* Mobile (Route Disabled),,
Panama,Fixed,,$0.08
,Mobile,,$0.47
Papua New Guinea,Fixed,,$0.93
,Mobile,,$2.84
Paraguay,Fixed,,$0.31
,Mobile,,$0.23
Peru,Fixed,,$0.05
,Mobile,,$0.23
Philippines,Fixed,,$0.36
,Mobile,,$0.47
Poland,Fixed,,$0.09
,Mobile,,$0.47
Portugal,Fixed,,$0.08
,Mobile,,$0.36
Puerto Rico,Fixed,,$0.05
,Mobile,,$0.05
Qatar,Fixed,,$0.47
,Mobile,,$0.59
Reunion,Fixed,,$0.09
,Mobile,,$0.36
Romania,Fixed,,$0.05
,Mobile,,$0.08
Russia,Fixed,,$0.47
,Mobile,,$0.70
Rwanda,Fixed,,$0.93
,Mobile,,$0.93
Samoa (American),Fixed,,$0.59
,Mobile,,$0.59
Samoa (Western),Fixed,,$2.06
,Mobile,,$2.06
San Marino,Fixed,,$0.05
,Mobile,,$0.59
Sao Tome & Principe,Fixed,,$2.59
,Mobile,,$2.56
Saudi Arabia,Fixed,,$2.95
,Mobile,,$2.95
Senegal,Fixed,,$1.88
,Mobile,,$1.29
Serbia,* Fixed (Route Disabled),,
,* Mobile (Route Disabled),,
Seychelles,* Fixed (Route Disabled),,
,* Mobile (Route Disabled),,
Sierra Leone,* Fixed (Route Disabled),,
,* Mobile (Route Disabled),,
Singapore,Fixed,,$0.05
,Mobile,,$0.05
Slovak Republic,Fixed,,$0.05
,Mobile,,$0.23
Slovenia,Fixed,,$0.05
,Mobile,,$1.55
Solomon Islands,Fixed,,$2.06
,Mobile,,$2.06
Somalia,* Fixed (Route Disabled),,
,* Mobile (Route Disabled),,
South Africa,Fixed,,$0.78
,Mobile,,$0.78
Spain,Fixed,,$1.38
,Mobile,,$1.38
Sri Lanka,Fixed,,$0.47
,Mobile,,$0.47
St Helena,* Fixed (Route Disabled),,
,* Mobile (Route Disabled),,
St Kitts & Nevis,Fixed,,$1.24
,Mobile,,$0.93
St Lucia,Fixed,,$0.70
,Mobile,,$0.93
St Pierre & Miquelon,Fixed,,$0.93
,Mobile,,$1.55
